Name,RA,DEC,Redshift,Distance,C,A,Gini,M20
MKW4_00224,0.0,0.0,0.01994247,0.0,0.0,0.0,0.0,0.0
MKW4_00225,0.0,0.0,0.018995,0.0,0.0,0.0,0.0,0.0
MKW4_00226,0.0,0.0,0.01936381,0.0,0.0,0.0,0.0,0.0
MKW4_00227,0.0,0.0,0.020407,0.0,0.0,0.0,0.0,0.0
MKW4_00228,0.0,0.0,0.020851,0.0,0.0,0.0,0.0,0.0
MKW4_00229,0.0,0.0,0.019955682,0.0,0.0,0.0,0.0,0.0
MKW4_00230,0.0,0.0,0.020768406,0.0,0.0,0.0,0.0,0.0
MKW4_00231,0.0,0.0,0.0206825,0.0,0.0,0.0,0.0,0.0
MKW4_00232,0.0,0.0,0.020592,0.0,0.0,0.0,0.0,0.0
MKW4_00233,0.0,0.0,0.019529,0.0,0.0,0.0,0.0,0.0
MKW4_00234,0.0,0.0,0.020947,0.0,0.0,0.0,0.0,0.0
MKW4_00235,0.0,0.0,0.020510428,0.0,0.0,0.0,0.0,0.0
MKW4_00236,0.0,0.0,0.0199803,0.0,0.0,0.0,0.0,0.0
MKW4_00237,0.0,0.0,0.0203745,0.0,0.0,0.0,0.0,0.0
MKW4_00238,0.0,0.0,0.020874,0.0,0.0,0.0,0.0,0.0
MKW4_00239,0.0,0.0,0.0191821,0.0,0.0,0.0,0.0,0.0
MKW4_00240,0.0,0.0,0.020859,0.0,0.0,0.0,0.0,0.0
MKW4_00241,0.0,0.0,0.020169,0.0,0.0,0.0,0.0,0.0
MKW4_00242,0.0,0.0,0.0210168,0.0,0.0,0.0,0.0,0.0
MKW4_00243,0.0,0.0,0.0188417,0.0,0.0,0.0,0.0,0.0
MKW4_00244,0.0,0.0,0.0208376,0.0,0.0,0.0,0.0,0.0
MKW4_00245,0.0,0.0,0.020628678,0.0,0.0,0.0,0.0,0.0
MKW4_00246,0.0,0.0,0.0206768,0.0,0.0,0.0,0.0,0.0
MKW4_00247,0.0,0.0,0.020893,0.0,0.0,0.0,0.0,0.0
MKW4_00248,0.0,0.0,0.0198655,0.0,0.0,0.0,0.0,0.0
MKW4_00249,0.0,0.0,0.020148,0.0,0.0,0.0,0.0,0.0
MKW4_00250,0.0,0.0,0.0203274,0.0,0.0,0.0,0.0,0.0
MKW4_00251,0.0,0.0,0.021269891,0.0,0.0,0.0,0.0,0.0
MKW4_00252,0.0,0.0,0.020053096,0.0,0.0,0.0,0.0,0.0
MKW4_00253,0.0,0.0,0.020723,0.0,0.0,0.0,0.0,0.0
MKW4_00254,0.0,0.0,0.02009,0.0,0.0,0.0,0.0,0.0
MKW4_00255,0.0,0.0,0.0204639,0.0,0.0,0.0,0.0,0.0
MKW4_00256,0.0,0.0,0.019858,0.0,0.0,0.0,0.0,0.0
MKW4_00257,0.0,0.0,0.020563,0.0,0.0,0.0,0.0,0.0
MKW4_00258,0.0,0.0,0.021232,0.0,0.0,0.0,0.0,0.0
MKW4_00259,0.0,0.0,0.020655315,0.0,0.0,0.0,0.0,0.0
MKW4_00260,0.0,0.0,0.020434,0.0,0.0,0.0,0.0,0.0
MKW4_00261,0.0,0.0,0.0203445,0.0,0.0,0.0,0.0,0.0
MKW4_00262,0.0,0.0,0.020637447,0.0,0.0,0.0,0.0,0.0
MKW4_00263,0.0,0.0,0.021927606,0.0,0.0,0.0,0.0,0.0
MKW4_00264,0.0,0.0,0.019777967,0.0,0.0,0.0,0.0,0.0
MKW4_00265,0.0,0.0,0.01941,0.0,0.0,0.0,0.0,0.0
MKW4_00266,0.0,0.0,0.02029178,0.0,0.0,0.0,0.0,0.0
MKW4_00267,0.0,0.0,0.020847,0.0,0.0,0.0,0.0,0.0
MKW4_00268,0.0,0.0,0.022132827,0.0,0.0,0.0,0.0,0.0
MKW4_00269,0.0,0.0,0.021708649,0.0,0.0,0.0,0.0,0.0
MKW4_00270,0.0,0.0,0.0212463,0.0,0.0,0.0,0.0,0.0
MKW4_00271,0.0,0.0,0.018588,0.0,0.0,0.0,0.0,0.0
MKW4_00272,0.0,0.0,0.020938,0.0,0.0,0.0,0.0,0.0
MKW4_00273,0.0,0.0,0.020355,0.0,0.0,0.0,0.0,0.0
MKW4_00274,0.0,0.0,0.021648915,0.0,0.0,0.0,0.0,0.0
MKW4_00275,0.0,0.0,0.021158,0.0,0.0,0.0,0.0,0.0
MKW4_00276,0.0,0.0,0.0201124,0.0,0.0,0.0,0.0,0.0
MKW4_00277,0.0,0.0,0.0200256,0.0,0.0,0.0,0.0,0.0
MKW4_00278,0.0,0.0,0.020488705,0.0,0.0,0.0,0.0,0.0
MKW4_00279,0.0,0.0,0.02131,0.0,0.0,0.0,0.0,0.0
MKW4_00280,0.0,0.0,0.020018,0.0,0.0,0.0,0.0,0.0
